,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
0,18Nushki,2021-04-23 20:54:11,36,4449,"The virus spreading here and there and day by day the cases of corona is increasing and what you think that how can we give our exam.   @MamataOfficial 
#cancelwbboardexam2021 
Retweet my tweet in a lot of number my companions 
#cancelwbboardexams2021",,priyojit_,[],1276593718816935936,http://pbs.twimg.com/profile_images/1303764383483404288/JeZLDhTC_normal.jpg
1,AlphonesInd,2021-04-23 20:54:10,0,0,"Email: alphonesindustry@gmail.com
Website:https://t.co/e0a3nzmExL

#gymglove #gym #gymgloves #gloves #fitness  #primegears #fingerlessgloves #blackgloves #uk #supportsmallbusiness #wristsupport #health #corona #covid #gloveson #coronavirus #lockdown https://t.co/WjJzhm3qGM",,[],#gymglove,1384289569458114560,http://pbs.twimg.com/profile_images/1384289893866639361/A8wCHVyf_normal.jpg
2,AHusainAhmed786,2021-04-23 20:54:09,6,22439,"@HinduAmericans @BBCNews @NicolaCareem For you every reports not infavour of your agenda is misleading. Riots Ahemdabad/Delhi/JNU/AMU/, Demo/GST/RBI etc Demolition of Babri Majid, CAA/NRC or Shahin Bag or Farmers agitation or Corona? Everything Against you is misleading! No COUNTRY IS MISLEAD ALL THESE YEARS. STOP IT.",Canada,Beahumane1st,[],731478784134635521,http://pbs.twimg.com/profile_images/1088461956179202050/poij9psP_normal.jpg
3,vaseer_umair,2021-04-23 20:54:06,43,20,"Sir corona is getting worst day by day  i think exams are important then our lives  agar hum he nhi rahenge to exam kis ka lo gy so plz cancel the exams plz hum hat jorty hai everyone is in tension juct bcoz of this 🙏💔
@ImranKhanPTI 
@Shafqat_Mahmood
#imrankhanjawabdou https://t.co/sNBG0bkjKY",,AshfaqA31311305,[],1374817990806503433,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
4,18Nushki,2021-04-23 20:54:06,7,4449,Corona and Our government on papers of students #ExamsCancelHoga #ImranKhanCancelEXAMS #cancel12thboardexams2021 #cancelwbboardexam2021 https://t.co/ELuwyug0u4,,HaseebU01092659,#gymglove#ExamsCancelHoga,1276593718816935936,http://pbs.twimg.com/profile_images/1303764383483404288/JeZLDhTC_normal.jpg
5,Talhaso40134741,2021-04-23 20:54:04,43,4,"Sir corona is getting worst day by day  i think exams are important then our lives  agar hum he nhi rahenge to exam kis ka lo gy so plz cancel the exams plz hum hat jorty hai everyone is in tension juct bcoz of this 🙏💔
@ImranKhanPTI 
@Shafqat_Mahmood
#imrankhanjawabdou https://t.co/sNBG0bkjKY",,AshfaqA31311305,[],1385382743794765825,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
6,LyDoPTJNvqg7tEt,2021-04-23 20:54:02,3,57362,"#闫丽梦
#LimengYan
#爆料革命
#郭文贵
#班农
#新中国联邦
#超限生物武器
#当代生物武器
#UnrestrictedBioweapon
#UnrestrictedBiowarfare
#ContemporaryBioweapon
#DrLiMengYan1
#YanLiMeng
#MilesGuo
#COVID
#Corona
#coronavirus
#CCPVirus

CCP don’t represent Chinese!
Take down the CCP! https://t.co/lV85BMQKHo",,Antonio55184671,#gymglove#ExamsCancelHoga#闫丽梦,1260226821049610242,http://pbs.twimg.com/profile_images/1363883968911695875/JQk4CTU0_normal.jpg
7,SethiShaikhc548,2021-04-23 20:54:01,0,158,"@ImranKhanPTI The federal and provincial governments in Pak r not giving anything to the people.We have not been tested for corona nor have I been vaccinated for free. PM Imran Khan, u politicians can only shed crocodile tears.The dignity of the common man is nothing in ur eyes😎 https://t.co/PcdkmuICLj",,ImranKhanPTI,[],861587449285230592,http://pbs.twimg.com/profile_images/1092931198203113473/10_Y6lS__normal.jpg
8,ModernEraNews,2021-04-23 20:54:00,1,981,"🇧🇪#Belgium #Brussels #Coronavirus

In view of the devastating third corona wave in Belgium, the country's health ministry is warning of an overload in the intensive care units. Around 900 of the 2000 intensive care beds in Belgium are occupied with Covid-19 patients.",,Xy5Z89,#gymglove#ExamsCancelHoga#闫丽梦#Belgium,1333544603291619329,http://pbs.twimg.com/profile_images/1380622579023679495/Z1H3W8VY_normal.jpg
9,SaqibKh83933627,2021-04-23 20:54:00,274,25581,"All political parties need to come together, join hands and fight against CORONA Virus. 

We have a huge population and if we don’t work together, this Virus will never leave us! 

Be the Leaders we want you to be!🙏🏼

#StaySafe #PrayforEachOther",Riyadh saudia arbia,divyenndu,[],901029211716161536,http://pbs.twimg.com/profile_images/1115526926570008576/XTwV3pI-_normal.jpg
